Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6267,30-07-2014,00946 / SEW,,Service Tax,00946 / SEW,0,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/1047.6KGS/ 00945,00946,
sales,6268,30-07-2014,00945 / SEW,SEW EURODRIVE INDIA PVT LTD,,00945 / SEW,2247.2,JOBNO:00945/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253108 dt.28/07/2014/ AC MOTOR DRS100M4BE5HF/FT ( FOR GEAR ENGINE) ( ACTUAL USER)/ 3 PKG/80.100 KGS/ ,
sales,6268,30-07-2014,00945 / SEW,,Agency charges,00945 / SEW,1100,JOBNO:00945/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253108 dt.28/07/2014/ AC MOTOR DRS100M4BE5HF/FT ( FOR GEAR ENGINE) ( ACTUAL USER)/ 3 PKG/80.100 KGS/ ,
sales,6268,30-07-2014,00945 / SEW,,Documentation charges,00945 / SEW,600,JOBNO:00945/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253108 dt.28/07/2014/ AC MOTOR DRS100M4BE5HF/FT ( FOR GEAR ENGINE) ( ACTUAL USER)/ 3 PKG/80.100 KGS/ ,
sales,6268,30-07-2014,00945 / SEW,,Labour Charges,00945 / SEW,300,JOBNO:00945/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253108 dt.28/07/2014/ AC MOTOR DRS100M4BE5HF/FT ( FOR GEAR ENGINE) ( ACTUAL USER)/ 3 PKG/80.100 KGS/ ,
sales,6268,30-07-2014,00945 / SEW,,Service Tax,00945 / SEW,247.2,JOBNO:00945/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253108 dt.28/07/2014/ AC MOTOR DRS100M4BE5HF/FT ( FOR GEAR ENGINE) ( ACTUAL USER)/ 3 PKG/80.100 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,SRI AMBIKA TRADING COMPANY,,00910 / SRI,24372.5,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,Documentation charges,00910 / SRI,250,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,Delivery Expenses,00910 / SRI,500,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,Agency charges,00910 / SRI,3000,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
